City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description,Date
107,Turayf,31.6725,38.6637,70.05,30,0,5.75,SA,clear sky,2022-10-04 22:54:14
108,Beloha,-25.1667,45.05,65.61,96,2,0.78,MG,clear sky,2022-10-04 22:54:14
109,Chokurdakh,70.6333,147.9167,22.03,91,99,6.58,RU,overcast clouds,2022-10-04 22:54:15
110,Bredasdorp,-34.5322,20.0403,48.6,82,3,3.78,ZA,clear sky,2022-10-04 22:54:15
111,Saint George,37.1041,-113.5841,88.25,24,0,1.01,US,clear sky,2022-10-04 22:54:15
112,Sherbrooke,45.4001,-71.8991,61.0,44,20,3.44,CA,few clouds,2022-10-04 22:54:16
113,Innisfail,-17.5333,146.0333,77.41,74,94,9.33,AU,overcast clouds,2022-10-04 22:54:16
114,Mvuma,-19.2792,30.5283,65.52,31,0,7.96,ZW,clear sky,2022-10-04 22:54:17
115,Oostkamp,51.1188,3.231,60.62,80,100,7.0,BE,overcast clouds,2022-10-04 22:54:17
116,Kodiak,57.79,-152.4072,53.11,94,100,19.57,US,moderate rain,2022-10-04 22:54:17
117,New Norfolk,-42.7826,147.0587,49.91,62,98,1.01,AU,overcast clouds,2022-10-04 22:54:18
118,Thompson,55.7435,-97.8558,57.36,44,40,5.75,CA,scattered clouds,2022-10-04 22:54:18
119,Mitu,1.1983,-70.1733,79.45,71,72,1.43,CO,broken clouds,2022-10-04 22:54:19
120,Mayo,38.8876,-76.5119,52.68,95,100,4.0,US,overcast clouds,2022-10-04 22:54:19
121,Sept-Iles,50.2001,-66.3821,50.52,83,100,4.61,CA,moderate rain,2022-10-04 22:52:43
122,Tabuk,17.4189,121.4443,76.21,90,51,1.1,PH,broken clouds,2022-10-04 22:54:20
123,Otofuke,42.9917,143.2003,49.96,73,49,16.58,JP,scattered clouds,2022-10-04 22:54:20
124,Sinnamary,5.3833,-52.95,79.75,81,54,12.26,GF,broken clouds,2022-10-04 22:54:20
125,Akyab,20.15,92.9,77.11,89,89,7.07,MM,overcast clouds,2022-10-04 22:54:21
126,Carnarvon,-24.8667,113.6333,66.87,75,1,10.0,AU,clear sky,2022-10-04 22:54:22
127,Norman Wells,65.282,-126.8329,39.24,81,75,12.66,CA,broken clouds,2022-10-04 22:54:22
128,Namyslow,51.0759,17.7228,46.33,90,60,6.02,PL,broken clouds,2022-10-04 22:54:23
129,Byron Bay,-28.65,153.6167,70.95,57,100,6.2,AU,overcast clouds,2022-10-04 22:54:23
130,Batticaloa,7.7102,81.6924,79.95,75,100,4.65,LK,overcast clouds,2022-10-04 22:54:24
131,Ulaangom,49.9811,92.0667,27.0,59,0,1.54,MN,clear sky,2022-10-04 22:54:24
132,Spisska Nova Ves,48.9446,20.5615,38.39,88,21,2.26,SK,few clouds,2022-10-04 22:54:24
133,Mehriz,31.5917,54.4318,68.5,20,1,0.63,IR,clear sky,2022-10-04 22:54:25
134,Georgetown,5.4112,100.3354,78.89,94,20,0.0,MY,few clouds,2022-10-04 22:49:35
135,Charters Towers,-20.1,146.2667,74.01,62,100,13.13,AU,overcast clouds,2022-10-04 22:54:25
136,Slave Lake,55.2834,-114.769,60.78,63,0,5.75,CA,clear sky,2022-10-04 22:54:25
137,Bluff,-46.6,168.3333,40.8,77,96,26.98,NZ,overcast clouds,2022-10-04 22:54:26
138,Gusau,12.1628,6.6614,78.49,71,95,6.55,NG,overcast clouds,2022-10-04 22:54:26
139,Vaitape,-16.5167,-151.75,77.67,76,29,25.7,PF,light rain,2022-10-04 22:52:58
140,Ninghai,29.2892,121.4247,64.76,83,92,7.49,CN,overcast clouds,2022-10-04 22:54:27
141,Umm Lajj,25.0213,37.2685,85.17,44,0,5.64,SA,clear sky,2022-10-04 22:54:27
142,Ruyigi,-3.45,30.3167,65.19,56,91,2.3,BI,overcast clouds,2022-10-04 22:54:27
143,Mitsamiouli,-11.3847,43.2844,75.07,79,15,3.89,KM,few clouds,2022-10-04 22:54:28
144,Vestmannaeyjar,63.4427,-20.2734,44.67,77,100,28.81,IS,overcast clouds,2022-10-04 22:54:28
145,Bentiu,9.2333,29.8333,71.62,90,95,1.05,SS,overcast clouds,2022-10-04 22:54:28
146,Sioux Lookout,50.1001,-91.917,60.87,88,100,3.44,CA,overcast clouds,2022-10-04 22:54:29
147,Cape Town,-33.9258,18.4232,61.38,59,0,5.75,ZA,clear sky,2022-10-04 22:53:30
148,Avera,33.194,-82.5271,73.45,47,0,3.98,US,clear sky,2022-10-04 22:54:29
149,Lompoc,34.6391,-120.4579,85.01,71,20,11.5,US,few clouds,2022-10-04 22:53:18
150,Guerrero Negro,27.9769,-114.0611,74.7,66,17,11.48,MX,few clouds,2022-10-04 22:54:30
151,Sao Filipe,14.8961,-24.4956,78.21,78,99,1.43,CV,overcast clouds,2022-10-04 22:54:30
152,Hermanus,-34.4187,19.2345,52.81,69,21,1.1,ZA,few clouds,2022-10-04 22:54:13
153,Sorland,67.667,12.6934,49.86,88,100,16.15,NO,light rain,2022-10-04 22:54:31
154,Camopi,3.1655,-52.3158,79.68,70,88,5.17,GF,overcast clouds,2022-10-04 22:54:31
155,Muros,42.7762,-9.0603,59.16,92,9,3.04,ES,clear sky,2022-10-04 22:54:32
156,Ngorongoro,-3.2397,35.4875,51.82,72,92,6.33,TZ,overcast clouds,2022-10-04 22:54:32
157,Ilulissat,69.2167,-51.1,19.09,76,15,6.42,GL,few clouds,2022-10-04 22:54:33
158,Kortkeros,61.8106,51.5806,48.2,90,100,6.33,RU,overcast clouds,2022-10-04 22:54:33
159,Penzance,50.1186,-5.5371,61.48,94,100,26.62,GB,overcast clouds,2022-10-04 22:54:33
160,Tamandare,-8.7597,-35.1047,74.82,77,4,6.15,BR,clear sky,2022-10-04 22:54:34
161,Naze,28.3667,129.4833,76.12,80,4,6.29,JP,clear sky,2022-10-04 22:54:34
162,Pisco,-13.7,-76.2167,62.65,72,0,18.41,PE,clear sky,2022-10-04 22:54:34
163,Gao,16.6362,1.637,93.07,21,68,9.62,ML,broken clouds,2022-10-04 22:54:35
164,Jiaxing,30.7522,120.75,62.35,72,100,8.57,CN,overcast clouds,2022-10-04 22:49:37
165,Elko,41.0002,-115.5012,75.22,19,0,5.01,US,clear sky,2022-10-04 22:54:35
166,Marsh Harbour,26.5412,-77.0636,79.32,72,19,8.97,BS,few clouds,2022-10-04 22:54:36
167,Dano,11.15,-3.0667,75.29,75,63,6.58,BF,light rain,2022-10-04 22:54:36
168,Sikeston,36.8767,-89.5879,76.89,25,0,5.75,US,clear sky,2022-10-04 22:54:36
169,Laje,-10.1833,-40.9667,77.27,21,22,3.96,BR,few clouds,2022-10-04 22:54:37
170,Oistins,13.0667,-59.5333,80.69,89,20,24.16,BB,few clouds,2022-10-04 22:54:37
171,Caborca,30.5838,-111.101,84.97,34,0,9.48,MX,clear sky,2022-10-04 22:54:37
172,Paamiut,61.994,-49.6678,37.13,97,100,27.72,GL,light rain,2022-10-04 22:54:38
173,Saint-Augustin,51.226,-58.6502,54.48,71,100,11.72,CA,overcast clouds,2022-10-04 22:54:38
174,Komsomolskiy,40.4272,71.7189,61.52,33,36,6.91,UZ,scattered clouds,2022-10-04 22:54:39
175,Ancud,-41.8697,-73.8203,48.43,90,28,6.85,CL,light rain,2022-10-04 22:54:39
176,Dalvik,65.9702,-18.5286,42.73,98,100,6.91,IS,overcast clouds,2022-10-04 22:54:39
177,Waipawa,-41.4122,175.5153,54.52,70,33,21.61,NZ,scattered clouds,2022-10-04 22:54:40
178,Hithadhoo,-0.6,73.0833,82.44,70,99,19.08,MV,overcast clouds,2022-10-04 22:54:40
179,Sabang,5.8933,95.3214,76.59,87,100,13.18,ID,overcast clouds,2022-10-04 22:54:40
180,Ukiah,39.1502,-123.2078,91.44,39,0,5.01,US,clear sky,2022-10-04 22:54:41
181,Kavieng,-2.5744,150.7967,83.89,73,84,15.77,PG,broken clouds,2022-10-04 22:54:41
182,Meulaboh,4.1363,96.1285,73.38,97,100,3.6,ID,overcast clouds,2022-10-04 22:54:42
183,Norrtalje,59.758,18.705,55.02,87,96,7.23,SE,light rain,2022-10-04 22:54:42
184,Cabedelo,-6.9811,-34.8339,77.67,77,46,10.85,BR,scattered clouds,2022-10-04 22:54:43
185,Kolda,12.8833,-14.95,77.74,90,22,5.48,SN,few clouds,2022-10-04 22:54:43
186,Juba,4.8517,31.5825,69.15,92,83,1.25,SS,light rain,2022-10-04 22:54:43
187,Opuwo,-18.0607,13.84,71.11,32,0,4.12,NA,clear sky,2022-10-04 22:54:44
188,Yarmouth,41.7057,-70.2286,60.94,94,100,16.11,US,light rain,2022-10-04 22:51:36
189,Ulagan,50.6321,87.9563,23.77,69,8,0.92,RU,clear sky,2022-10-04 22:54:45
