City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
494,Presidencia Roque Saenz Pena,AR,77.16,clear sky,-26.7852,-60.4388,Hotel Gualok
496,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
499,Ahuimanu,US,85.75,moderate rain,21.4447,-157.8378,Paradise Bay Resort
500,Tarakan,ID,78.3,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
501,Tucupita,VE,76.59,broken clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
502,Kuching,MY,75.42,scattered clouds,1.55,110.3333,Hilton Kuching
503,Bull Savanna,JM,78.71,overcast clouds,17.8868,-77.5902,Big Red's
507,Alcantara,BR,82.6,few clouds,-2.4089,-44.4147,Pousada da Josefa
508,Champerico,GT,88.34,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
511,Padang,ID,75.02,moderate rain,-0.9492,100.3543,Mercure Padang
523,Kavaratti,IN,81.07,overcast clouds,10.5669,72.642,Green leaf
529,Port Moresby,PG,81.82,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
531,Carutapera,BR,78.87,scattered clouds,-1.195,-46.02,Lidera
534,Pochutla,MX,85.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
535,Klamath Falls,US,83.48,broken clouds,42.2249,-121.7817,"Holiday Inn Express & Suites Klamath Falls Central, an IHG Hotel"
541,Nhulunbuy,AU,83.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
547,Moses Lake,US,87.89,few clouds,47.1301,-119.2781,Ramada by Wyndham Moses Lake
548,Trat,TH,80.82,overcast clouds,12.5,102.5,สวนหนิง-อัศ
550,Zaraza,VE,76.05,overcast clouds,9.3503,-65.3245,Hotel Zaraza
555,Tame,CO,77.77,broken clouds,6.461,-71.73,Hospedaje Santa Ana
557,Grand-Lahou,CI,75.02,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
559,Bosaso,SO,86.18,overcast clouds,11.2842,49.1816,Red Sea Hotel
563,Sola,VU,80.44,scattered clouds,-13.8833,167.55,Leumerus Bungalows
567,Gatesville,US,88.36,clear sky,31.4352,-97.7439,Ramada by Wyndham Gatesville N. Fort Hood
568,Taitung,TW,75.47,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
570,Alofi,NU,82.29,few clouds,-19.0595,-169.9187,Taloa Heights
571,Banjar,ID,77.81,broken clouds,-8.19,114.9675,The Hamsa Resort
574,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
576,Redwater,US,82.33,clear sky,33.3582,-94.2544,Nettles Nest Country Inn
579,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
580,Ambon,ID,78.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
587,Aswan,EG,87.1,clear sky,24.0934,32.907,Nuba Nile
593,Isangel,VU,77.11,scattered clouds,-19.55,169.2667,Tanna Lodge
598,Tecoanapa,MX,83.39,few clouds,16.5167,-98.75,Hotel Manglares
600,Riohacha,CO,87.91,few clouds,11.5444,-72.9072,Hotel Taroa
602,Balad,IQ,84.33,clear sky,34.0164,44.1453,رضاوي زنوبة
